iter	Passed	Remaining
0	0	69
1	1	63
2	1	60
3	2	57
4	2	56
5	3	53
6	3	52
7	4	51
8	5	50
9	5	49
10	6	49
11	6	48
12	7	47
13	7	46
14	8	45
15	8	45
16	9	44
17	9	43
18	10	42
19	10	42
20	11	41
21	11	40
22	12	40
23	12	39
24	12	38
25	13	38
26	14	37
27	14	37
28	15	36
29	15	36
30	16	35
31	16	35
32	17	34
33	17	34
34	18	33
35	18	32
36	19	32
37	19	31
38	20	31
39	20	30
40	20	30
41	21	29
42	21	28
43	22	28
44	22	27
45	23	27
46	23	26
47	24	26
48	24	25
49	25	25
50	25	24
51	26	24
52	26	23
53	26	22
54	27	22
55	27	21
56	28	21
57	28	20
58	29	20
59	29	19
60	30	19
61	30	18
62	31	18
63	31	17
64	32	17
65	32	16
66	33	16
67	33	15
68	34	15
69	34	14
70	35	14
71	35	13
72	36	13
73	36	12
74	37	12
75	37	11
76	38	11
77	38	10
78	38	10
79	39	9
80	39	9
81	40	8
82	40	8
83	41	7
84	41	7
85	42	6
86	42	6
87	43	5
88	43	5
89	44	4
90	45	4
91	45	3
92	46	3
93	46	2
94	46	2
95	47	1
96	47	1
97	48	0
98	48	0
99	49	0
